"Level","ID","IVW","...9","MR Egger","Weighted median","MLE","MR-RAPS","Heterogeneity (Cochrane's Q)"
"phylum","ID.1","0.313130556","1.3776680509999999","0.31554636699999999","0.41911355300000003","0.21333983288862601","0.21470842746632299","0.146887509"
"phylum","ID.2","0.55945944199999997","0.88998406900000004","0.87567043499999997","0.91679087100000001","0.42104464359025601","0.40570418179470202","6.1625127000000002E-2"
"phylum","ID.3","0.27339956500000001","1.258918749","0.58016842599999996","0.38191753899999997","0.28963392010662098","0.28786748913596499","0.71040406499999997"
"phylum","ID.4","0.491187498","1.2233724619999999","0.79310948699999995","0.71443121700000001","0.48941667430996999","0.51428723411458399","0.96652537900000002"
"phylum","ID.5","0.47413112299999999","1.17982074","0.64971595900000001","0.49354227699999997","0.46098538948376899","0.49424221970118498","0.88308710899999998"
"phylum","ID.6","0.73732548499999995","0.92086316099999999","0.50055673499999997","0.40812664199999998","0.741868020490696","0.72444756211927697","0.36772853100000003"
"phylum","ID.7","0.113541527","1.551962005","0.95963053099999995","0.10419123299999999","0.10257657429058301","0.124634880747893","0.70197837299999999"
"phylum","ID.8","0.92096797699999999","0.98440583100000001","0.730098048","0.63371952600000003","0.92042705875469599","0.92511233819022398","0.95625078299999999"
"phylum","ID.9","0.267290635","0.77346251799999999","0.38593411100000002","0.208675046","0.26617118299412101","0.29381970310566102","0.90267835100000005"
"class","ID.10","0.78521780500000005","0.94910914000000002","0.11316129","0.235087829","0.71932549239905796","0.71989576610883299","0.118063061"
"class","ID.11","0.44718823000000002","0.76724817000000001","0.18482322700000001","0.80138693800000005","0.37278049925477102","0.370676458311746","0.20905436199999999"
"class","ID.12","0.32857186599999999","0.75048061799999999","0.79562766200000001","0.67617972100000001","0.32169252680137","0.33789076419962899","0.50967628399999998"
"class","ID.13","0.36737532699999997","0.82261228399999997","0.80941854599999996","0.413196483","0.38032842582175602","0.38653299162381599","0.73256291699999998"
"class","ID.14","0.61078376599999995","0.84503309900000001","0.70517901900000002","0.83094237500000001","0.609353144282338","0.63176094284345297","0.95322551200000005"
"class","ID.15","0.34271463000000002","1.279214794","0.40586634599999999","0.64038916499999998","0.33668235615944198","0.36569066016533303","0.94508057499999998"
"class","ID.16","0.243005263","0.65520142100000001","0.57681506800000004","0.87838715000000001","0.24116152780101899","0.26603012712624702","0.73357690799999997"
"class","ID.17","0.90427159899999998","1.042825675","0.56613310100000003","0.431255518","0.86464079258278204","0.86709669961023805","6.0339483999999999E-2"
"class","ID.18","6.6358295999999997E-2","0.72113280800000001","0.87244506700000002","9.1296107000000001E-2","7.0229319266708598E-2","7.9601529905737101E-2","0.84644318699999999"
"class","ID.19","0.731207041","1.106524904","0.96949344800000004","0.70641545100000003","0.714181842902879","0.72155041854636703","0.37068447199999999"
"class","ID.20","0.47413112299999999","1.17982074","0.64971595900000001","0.48449225200000001","0.46098538948376899","0.49424221970118498","0.88308710899999998"
"class","ID.21","0.26485115999999997","0.68721595999999996","0.93050990200000006","0.40325860499999999","0.26533287140329198","0.296054961843561","0.960054199"
"class","ID.22","0.629319509","1.118600754","0.46026746200000002","0.81881633899999995","0.62846750231503201","0.64745351541663898","0.974386898"
"class","ID.23","0.93707265299999998","1.0195896680000001","0.86554775100000003","0.90958965599999997","0.93596138221179004","0.93840375613535199","0.554182489"
"class","ID.24","0.96938576899999995","0.99353180600000002","0.74038355899999997","0.80189286500000001","0.96911801508675499","0.97095184170769999","0.92127601100000001"
"class","ID.25","0.91841127700000003","1.031344193","0.45647968799999999","0.96349006500000001","0.91394678524030804","0.91603828656826203","0.387358598"
"order","ID.26","0.91890584500000005","1.0232511150000001","0.36034410500000003","0.70920813800000004","0.88688695503007597","0.88593120570864803","4.6870187000000001E-2"
"order","ID.27","0.34271463000000002","1.279214794","0.40586634599999999","0.642279092","0.33668235615944198","0.36569066016533303","0.94508057499999998"
"order","ID.28","0.731207041","1.106524904","0.96949344800000004","0.69982453099999997","0.714181842902879","0.72155041854636703","0.37068447199999999"
"order","ID.29","0.47360934799999999","0.89973251200000004","0.47873927300000002","0.37023692000000002","0.48861591688085199","0.484477447476237","0.63163799799999998"
"order","ID.30","0.78521780500000005","0.94910914000000002","0.11316129","0.24024567999999999","0.71932549239905796","0.71989576610883299","0.118063061"
"order","ID.31","0.96938576899999995","0.99353180600000002","0.74038355899999997","0.79983636800000002","0.96911801508675499","0.97095184170769999","0.92127601100000001"
"order","ID.32","0.72475506499999998","1.115011118","0.62221648799999996","0.97347682499999999","0.72141780808455602","0.73217507366654899","0.69016935199999996"
"order","ID.33","0.70155910099999996","1.054549473","0.39107937700000001","0.93117608699999999","0.696069688590642","0.70519230260204901","0.49318267500000001"
"order","ID.34","6.9582020999999994E-2","1.6251694219999999","0.27456592899999999","4.4608446000000003E-2","6.6652506593679606E-2","7.7375355511340796E-2","0.54512919199999998"
"order","ID.35","0.58864870300000005","1.178674089","0.60080785599999997","0.72491860799999996","0.58745748866421499","0.60828381625028505","0.484768056"
"order","ID.36","0.629319509","1.118600754","0.46026746200000002","0.81710093500000003","0.62846750231503201","0.64745351541663898","0.974386898"
"order","ID.37","0.91841127700000003","1.031344193","0.45647968799999999","0.96419852299999997","0.91394678524030804","0.91603828656826203","0.387358598"
"order","ID.38","0.243005263","0.65520142100000001","0.57681506800000004","0.88244575300000005","0.24116152780101899","0.26603012712624702","0.73357690799999997"
"order","ID.39","0.23877437000000001","0.71456598999999998","0.70635334100000002","0.53868501199999996","0.24828380193718","0.25080947249124402","0.63652809499999996"
